Ni,Ti,Si,Co,Pd,Mo,Fe,V,Cr,Al,Zr,Nb,Mn,Ta,Cu,Hf,Pt,B,HT-1K,HT-2K,T-min,As,Af,Ms,Mf,MsK,HT-1,HT-2,T,th
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,224,262,209,185,482,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,211,238,209,179,482,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,773,30,217,266,209,170,482,950,500,0.5,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,973,60,228,247,212,194,485,950,700,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,213,249,211,167,484,950,500,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,215,263,211,155,484,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,228,247,212,194,485,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,773,60,229,276,213,173,486,950,500,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,273,0,215,247,214,170,487,950,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,209,259,214,158,487,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,170,252,213,127,486,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,221,249,215,179,488,950,900,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,164,252,217,152,490,950,500,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,30,231,281,218,182,491,950,500,0.5,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,222,267,218,181,491,950,900,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,9.96,232,268,220,189,493,950,500,0.166,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,221,260,220,182,493,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,225,268,221,177,494,950,500,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,235,268,224,185,497,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,973,60,219,259,224,178,497,950,700,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,9.96,248,270,226,199,499,950,500,0.166,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,222,257,226,187,499,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,235,269,228,191,501,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,234,282,229,186,502,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,773,60,238,293,229,182,502,950,500,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,239,271,230,201,503,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,231,272,231,187,504,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,773,60,239,295,231,186,504,950,500,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,230,281,233,164,506,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,242,291,237,194,510,950,900,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,9.96,259,285,239,214,512,950,500,0.166,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,242,300,239,190,512,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,973,60,233,285,239,186,512,950,700,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,234,278,241,196,514,950,900,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,252,263,244,231,517,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,973,60,245,302,245,214,518,950,700,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,252,288,245,211,518,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,273,0,254,317,244,188,517,950,0,0,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,973,60,255,266,248,234,521,950,700,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,30,244,310,247,194,520,950,500,0.5,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,225,309,248,186,521,950,500,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,249,262,249,234,522,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,242,311,249,193,522,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,973,60,236,294,253,194,526,950,700,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,973,60,247,310,253,196,526,950,700,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,30,244,320,254,197,527,950,500,0.5,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,973,60,242,316,259,203,532,950,700,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,973,60,235,296,252,203,525,950,700,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,973,60,229,299,253,203,526,950,700,1,
